ToxPrint_ID,ToxPrint_chemotype_name (original),Level 1,Level 2,Level 3,Level 4,Level 5,Level 2 full,Level 3 full,Level 4 full,Level 5 full
602,ring:fused_steroid_generic_[5_6_6_6],ring,fused,steroid_generic_[5_6_6_6],,,ring:fused,ring:fused_steroid_generic_[5_6_6_6],ring:fused_steroid_generic_[5_6_6_6],ring:fused_steroid_generic_[5_6_6_6]
603,ring:hetero_[3]_N_aziridine,ring,hetero,[3]_N_aziridine,,,ring:hetero,ring:hetero_[3]_N_aziridine,ring:hetero_[3]_N_aziridine,ring:hetero_[3]_N_aziridine
604,ring:hetero_[3]_O_epoxide,ring,hetero,[3]_O_epoxide,,,ring:hetero,ring:hetero_[3]_O_epoxide,ring:hetero_[3]_O_epoxide,ring:hetero_[3]_O_epoxide
605,ring:hetero_[3]_Z_generic,ring,hetero,[3]_Z_generic,,,ring:hetero,ring:hetero_[3]_Z_generic,ring:hetero_[3]_Z_generic,ring:hetero_[3]_Z_generic
606,ring:hetero_[4]_N_azetidine,ring,hetero,[4]_N,azetidine,,ring:hetero,ring:hetero_[4]_N,ring:hetero_[4]_N_azetidine,ring:hetero_[4]_N_azetidine
607,ring:hetero_[4]_N_beta_lactam,ring,hetero,[4]_N,beta_lactam,,ring:hetero,ring:hetero_[4]_N,ring:hetero_[4]_N_beta_lactam,ring:hetero_[4]_N_beta_lactam
608,ring:hetero_[4]_O_oxetane,ring,hetero,[4]_O_oxetane,,,ring:hetero,ring:hetero_[4]_O_oxetane,ring:hetero_[4]_O_oxetane,ring:hetero_[4]_O_oxetane
609,ring:hetero_[4]_Z_generic,ring,hetero,[4]_Z_generic,,,ring:hetero,ring:hetero_[4]_Z_generic,ring:hetero_[4]_Z_generic,ring:hetero_[4]_Z_generic
610,ring:hetero_[5]_N_imidazole,ring,hetero,[5]_N,imidazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_imidazole,ring:hetero_[5]_N_imidazole
611,ring:hetero_[5]_N_pyrazole,ring,hetero,[5]_N,pyrazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_pyrazole,ring:hetero_[5]_N_pyrazole
612,ring:hetero_[5]_N_pyrrole,ring,hetero,[5]_N,pyrrole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_pyrrole,ring:hetero_[5]_N_pyrrole
613,ring:hetero_[5]_N_pyrrole_generic,ring,hetero,[5]_N,pyrrole_generic,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_pyrrole_generic,ring:hetero_[5]_N_pyrrole_generic
614,ring:hetero_[5]_N_pyrrolidone_(2-),ring,hetero,[5]_N,pyrrolidone_(2-),,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_pyrrolidone_(2-),ring:hetero_[5]_N_pyrrolidone_(2-)
615,ring:hetero_[5]_N_tetrazole,ring,hetero,[5]_N,tetrazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_tetrazole,ring:hetero_[5]_N_tetrazole
